X,Y,Theta
46.05,0,0
46.35,-0.85,-2.1
46.55,1.225,3.01
46.115,1.55,3.85
45.9,1.2,3
45.05,-1.05,-2.67
46.625,-0.65,-1.6
46.4,0,0
46.125,0.2,0.5
46,-1.3,-3.24
46,0.625,1.56
45.99,0.625,1.56
46.05,-0.375,-0.93
46.1,1.375,3.42
45.36,0.575,1.45
45.335,1.125,2.84
45.8,-1.025,-2.56
46.2,0.8,1.98
45.625,1.625,4.08
45.175,-0.3,-0.76
45.275,0.55,1.39
45.35,0.55,1.39
45.35,-0.15,-0.38
46.7,0.05,0.12
45.65,-0.525,-1.32
46.6,0.15,0.37
30.25,-23.5,-75.68
29.65,-24.975,-80.22
30.15,-24.425,-78.02
30.675,-23.75,-75.5
29.175,-24.375,-79.76
29.475,-24.125,-78.6
29.7,-24,-77.88
29.175,-24.4,-79.81
29.575,-24.1,-78.35
30.225,-24.625,-78.34
29.475,-25.05,-80.72
29.95,-24.75,-79.14
30.225,-25.275,-79.81
30.375,-24,-76.63
30.35,-24,-76.67
30.355,-24,-76.66
29.5,-24.9,-80.33
30.38,-24,-76.62
29.925,-24.45,-78.5
30.475,-22.75,-73.48
30.325,-24,-76.72
30.4,-23.95,-76.46
30.1,-23.75,-76.55
30.45,-25.075,-78.94
29.85,-24.575,-78.93
29.45,-24.125,-78.65
29.675,24.975,80.17
30.275,23.75,76.23
30.05,24,77.23
29.55,23.85,77.81
29.55,23.55,77.11
30.05,24.6,78.61
29.5,24.525,79.48
29.9,24.225,78.03
28.95,26.125,84.13
29.975,24.925,79.49
29.675,24.1,78.16
31.55,22.35,70.63
30.825,23.5,74.64
29.425,24.275,79.04
29.275,24.45,79.74
29.95,24.375,78.28
30.25,24.55,78.12
29.85,24.775,79.38
28.95,26.125,84.13
29.075,26.125,83.88
29.2,25.65,82.59
30.075,24.75,78.9
29.9,24.35,78.32
29.5,24.75,79.99
29.575,24.65,79.62
30.35,24.95,78.85
