Lx,Ly,Rx,Ry,X,Y,Theta
46.0,0.8,46.0,10.3,46.0,0.8000000000000007,0.0
48.3,0.0,48.1,9.6,48.201496908576026,-0.09371881440466368,0.02083032003621664
47.1,0.4,48.2,10.0,47.6948550164863,1.2354853626942788,-0.11408577916815965
47.4,-0.6,47.6,9.1,47.501466213361226,-0.3577621899662091,-0.020615635625604055
47.0,1.1,47.1,10.3,47.05040757258077,1.024995569863254,-0.010869137177270333
45.7,0.4,45.6,9.9,45.65038223970337,0.3273724446284554,0.010525927031725564
46.9,0.1,47.0,9.7,46.95037431849649,0.22187110084899597,-0.010416289930969809
46.3,0.5,46.0,10.0,46.15343787216514,0.28221382754205937,0.03156845648777777
46.8,-0.1,46.9,9.5,46.85037431849649,0.021871100848995795,-0.010416289930969809
47.8,-0.1,47.9,9.5,47.85037431849649,0.021871100848995795,-0.010416289930969809
48.0,-0.1,47.9,9.6,47.95036664098434,-0.07113024081459596,0.010308913146243432
47.4,-0.4,47.6,9.4,47.50143645260222,-0.10921298882861485,-0.020405330686538374
47.9,0.0,47.8,9.9,47.85035197796334,0.13030658563599218,0.010100666585322049
46.5,-1.4,46.9,8.4,46.70574043360601,-0.9686016503512667,-0.04079368286786526
45.3,-0.9,45.5,8.8,45.40146621336122,-0.657762189966208,-0.02061563562560405
46.8,0.5,46.7,10.1,46.7503743184965,0.47812889915100865,0.01041628993096907
46.6,-0.2,46.6,9.5,46.6,-0.09999999999999964,0.0
45.5,-1.6,45.7,8.2,45.60143645260222,-1.309212988828615,-0.020405330686538378
45.5,-1.2,45.5,8.5,45.5,-1.1,0.0
47.5,-1.1,47.8,8.6,47.65329766633284,-0.7866999278247295,-0.030917979563042357
44.9,-1.4,45.1,8.2,45.00149690857603,-1.2062811855953322,-0.020830320036217383
48.0,0.5,47.7,10.0,47.853437872165145,0.28221382754205937,0.03156845648777777
47.8,-0.3,47.7,9.6,47.75035197796335,-0.1696934143640032,0.010100666585321333
46.1,-0.8,46.5,9.0,46.30574043360602,-0.368601650351267,-0.04079368286786526
47.5,-1.1,47.8,10.0,47.652518707877306,-0.11358158669938856,-0.027020449187264532
28.9,-20.0,36.7,-14.5,35.72372484862003,-16.360918876224765,-0.9566368995028863
28.4,-20.3,36.2,-12.3,34.25959903662172,-16.233109060706173,-0.7727406115633966
28.6,-20.4,36.4,-14.9,35.423724848620026,-16.760918876224764,-0.956636899502886
27.7,-22.6,35.9,-17.6,35.107808772573875,-18.958806387021152,-1.0232340908548991
27.4,-21.3,35.5,-16.0,34.57205905549737,-17.62616572632617,-0.9913895000732798
29.4,-23.2,37.5,-18.2,36.72564249383094,-19.578540840006124,-1.0177648826442562
28.8,-20.7,36.5,-15.3,35.588187372043066,-17.100748660135487,-0.9591992824866348
27.9,-20.3,35.7,-14.8,34.72372484862003,-16.660918876224763,-0.9566368995028863
28.9,-20.5,36.8,-15.0,35.80755510002519,-16.837215507308912,-0.9626235483471677
28.5,-20.0,36.2,-14.3,35.14465254197114,-16.354179749680306,-0.9335581841292799
28.8,-19.8,36.7,-14.5,35.80584694540107,-16.170036012956306,-0.979878279612554
27.9,-20.0,35.8,-14.4,34.75970356898925,-16.32083182053841,-0.9541482658177494
26.5,-21.6,34.5,-13.7,32.55174486216982,-17.49037454396944,-0.7916873886501555
28.6,-19.3,36.8,-9.3,34.264452245574844,-14.674850841371379,-0.686817649758645
27.9,-19.8,35.6,-11.6,33.62002080071122,-15.72672684944834,-0.753961982041174
27.5,-21.2,35.8,-13.3,33.79288315250871,-17.002016476686368,-0.8100845054530477
27.5,-20.5,35.5,-14.9,34.44310982389304,-16.79729974841862,-0.960070362405688
27.8,-19.9,35.6,-14.2,34.52888553353806,-16.229001256420503,-0.9397169393235675
27.7,-20.0,35.6,-14.3,34.51270168792354,-16.304446199051917,-0.9457736073733992
27.2,-21.4,35.5,-15.0,34.03663547733889,-17.48579288467387,-0.9139372339462846
28.2,-21.9,36.2,-16.5,35.239637300492674,-18.230944148878027,-0.9770466600841258
27.4,-21.3,35.0,-16.0,34.15311192819347,-17.740311444201957,-0.9618387071583884
28.1,-21.6,36.1,-16.3,35.189177472602,-17.94781505298414,-0.9856838886104692
28.5,-21.2,36.3,-15.8,35.37245114607087,-17.576873877657928,-0.9652516631899265
28.7,-21.1,36.7,-15.0,35.41623566586777,-17.31309595523641,-0.9193430993441113
36.8,22.1,29.4,28.2,35.611098516060196,15.075758855548429,0.8813984537669336
37.6,25.3,29.9,30.7,36.688187372043075,17.600748660135487,0.959199282486635
36.0,22.5,28.5,28.4,34.88383862477986,15.276913506076099,0.9042385079652137
36.6,24.9,28.9,30.3,35.68818737204307,17.200748660135485,0.9591992824866347
36.0,22.8,28.5,28.8,34.83960417187447,15.662005214843091,0.8960553845713439
36.3,23.6,28.6,29.4,35.198556652431265,16.238601073055293,0.9252205321816416
36.5,24.4,28.8,30.1,35.44465254197114,16.95417974968031,0.9335581841292794
37.2,24.0,29.3,29.6,36.15970356898926,16.42083182053841,0.9541482658177495
